payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index
12,597,597,597,1,1,0,1,1,1,1,1,0.05175913003952566,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,1
13,562,562,562,1,1,0,1,1,1,1,1,0.08681061060713999,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
14,478,478,478,1,1,0,1,1,1,1,1,0.06656487760868046,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,1
15,267,267,267,1,1,0,1,1,1,1,1,0.05688592359538729,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
16,917,917,917,1,1,0,1,1,1,1,1,0.08118962731749843,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,1
17,656,656,656,1,1,0,1,1,1,1,1,0.09893055610772453,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,1
18,889,889,151,1,2,-1,1,1,1,0,1,0.07421925263642465,tau0_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
19,510,510,510,1,1,0,1,1,1,1,1,0.14468604621562156,tau0_slope0,timing,0_0_0_10_14_8,-25.0,1
20,860,860,860,1,1,0,1,1,1,1,1,0.04515374003800207,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,1
21,553,553,553,1,1,0,1,1,1,1,1,0.07804201097560177,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
22,629,629,629,1,1,0,1,1,1,1,1,0.06012069308530537,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,1
23,759,759,759,1,1,0,1,1,1,1,1,0.06705715657816963,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
24,874,874,874,1,1,0,1,1,1,1,1,0.10462178938443756,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,1
25,720,720,720,1,1,0,1,1,1,1,1,0.1813509114008379,tau0_slope0,timing,0_0_0_10_14_8,-25.0,1
26,314,314,314,1,1,0,1,1,1,1,1,0.119729636796711,tau0_slope0,timing,0_0_0_10_14_8,-25.0,1
27,602,274,929,4,68,-64,1,0,0,0,1,0.037174933204817774,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,1
28,7,7,7,1,1,0,1,1,1,1,1,0.12227636835099409,tau0_slope0.5,timing,0_0_0_10_14_8,-25.0,1
29,610,610,610,1,1,0,1,1,1,1,1,0.07971056696962271,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,1
30,842,842,842,1,1,0,1,1,1,1,1,0.09196029950059076,tau0_slope0,timing,0_0_0_10_14_8,-25.0,1
31,928,928,928,1,1,0,1,1,1,1,1,0.0977977336277699,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,1
32,744,744,744,1,1,0,1,1,1,1,1,0.11852117508353492,tau0_slope0.5,timing,0_0_0_10_14_8,-25.0,1
