raw_fft_bin,trial_count,groundtruth_count,savaux_lambda_mean,savaux_lambda_median,colored_ml_lambda_mean,colored_ml_lambda_median,colored_minus_savaux_lambda_mean,model_full_to_savaux_snr_gain_db_mean,gt_savaux_lambda_mean,gt_colored_ml_lambda_mean
570,392,0,1.084522449168524,0.6568003296852112,1.0804194414483892,0.6682713329792023,-0.004103007720134754,0.17392455972731113,,
571,392,0,1.144280554156671,0.6739857494831085,1.1472469933384617,0.6918201446533203,0.0029664391817908723,0.17407300136983395,,
572,392,0,1.0331148064959015,0.6450381278991699,1.0151580011725132,0.581991046667099,-0.01795680532338839,0.17403294332325459,,
573,392,0,1.1599712993573084,0.6753231287002563,1.1508340871315546,0.6532589495182037,-0.009137212225753928,0.1737772449851036,,
574,392,0,1.1050271221872523,0.629866898059845,1.109105676122138,0.6069900393486023,0.004078553934885683,0.1733349058777094,,
575,392,0,1.119690055834196,0.7112412750720978,1.1268136343193818,0.6959361732006073,0.007123578485185803,0.17271195538342,,
576,392,0,1.1661133009281688,0.7080813944339752,1.1818656549295732,0.6995744407176971,0.015752354001404234,0.17199059203267097,,
577,392,0,1.0903027921954256,0.6627220213413239,1.0846803753588667,0.6651641726493835,-0.005622416836558841,0.1712082289159298,,
578,392,0,1.153713162654621,0.7268132269382477,1.1451721279189937,0.7187866866588593,-0.008541034735627567,0.17040486447513103,,
579,392,0,1.151969183739441,0.7445292770862579,1.1498600174269011,0.7410646080970764,-0.002109166312539874,0.1696172747761011,,
580,392,0,1.1516845726980638,0.6659524738788605,1.17711479472215,0.7190126478672028,0.025430222024086256,0.16889415122568607,,
581,392,0,1.148487279071263,0.6567906737327576,1.1811557834512407,0.6731101274490356,0.03266850437997776,0.16823666356503963,,
582,392,0,1.0071118151447118,0.6131270825862885,1.013777316335294,0.6372489631175995,0.00666550119058229,0.16766932606697083,,
583,392,0,1.1414372039975464,0.765510767698288,1.1480421962190177,0.7515236139297485,0.00660499222147114,0.1671949028968811,,
584,392,0,0.9824811488470747,0.5628504455089569,0.9919909602097329,0.5883331596851349,0.009509811362658166,0.16680745221674442,,
585,392,0,1.1512046809924756,0.6590118706226349,1.1749350174576072,0.6811495125293732,0.023730336465131566,0.16645132564008236,,
586,392,8,2.5760210933162573,0.6843138039112091,2.6528171491476575,0.6226715743541718,0.07679605583139999,0.16611632332205772,72.4801459312439,76.14136981964111
587,392,0,1.147503883822593,0.6824378967285156,1.1731556228642706,0.6608037948608398,0.0256517390416775,0.16584628261625767,,
588,392,0,1.1431226103550403,0.6729514002799988,1.1783474575418134,0.7024217545986176,0.03522484718677315,0.16562610864639282,,
589,392,0,1.1475494652018379,0.7147768139839172,1.1845850947037415,0.6904675960540771,0.03703562950190366,0.1654927358031273,,
