packet_index,frame_index,event_index,payload_symbol_index,start_sample,paper_start_sample,paper_origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,center_raw_fft_bin,center_signed_fft_bin,center_symbol_value,paper_raw_fft_bin,paper_signed_fft_bin,paper_symbol_value,center_raw_hit,paper_raw_hit,center_symbol_hit,paper_symbol_hit,center_gt_rank,paper_gt_rank,center_peak_power,paper_peak_power,paper_peak_margin_db,paper_total_power
3,2,3,28,8042865,8042867,2,11,4,continuous,385,385,96,385,385,96,385,385,96,1,1,1,1,1,1,12977.652994778997,101.07934721127913,11.997875299862963,117.62183176144157
3,2,3,29,8051057,8051059,2,11,4,continuous,677,677,169,677,677,169,677,677,169,1,1,1,1,1,1,9526.385200687742,74.02469851495789,11.782143954425532,86.85975229412851
3,2,3,30,8059249,8059251,2,11,4,continuous,1189,-859,297,1189,-859,297,1189,-859,297,1,1,1,1,1,1,6566.464088828303,51.353631980651926,10.929142094497733,61.592215552712574
3,2,3,31,8067441,8067443,2,11,4,continuous,89,89,22,89,89,22,89,89,22,1,1,1,1,1,1,4644.238649890758,36.227351380767686,9.258316050441207,46.09260122554779
3,2,3,32,8075633,8075635,2,11,4,continuous,1609,-439,402,1609,-439,402,1609,-439,402,1,1,1,1,1,1,3858.5961660651956,30.012294380227104,9.472110994756374,37.621065696402866
3,2,3,33,8083825,8083827,2,11,4,continuous,445,445,111,445,445,111,445,445,111,1,1,1,1,1,1,4025.934546496268,31.237717703657836,9.987660592668187,39.39767857097683
3,2,3,34,8092017,8092019,2,11,4,continuous,2033,-15,508,2033,-15,508,2033,-15,508,1,1,1,1,1,1,5227.79572390113,40.63287986466548,9.44265854887152,51.24540124273017
3,2,3,35,8100209,8100211,2,11,4,continuous,1737,-311,434,1737,-311,434,1737,-311,434,1,1,1,1,1,1,7185.291373953456,55.98348313914266,9.796920826781108,69.02029845769421
3,2,3,36,8108401,8108403,2,11,4,continuous,677,677,169,677,677,169,677,677,169,1,1,1,1,1,1,9473.475296739547,73.65453419747064,10.547007260584362,89.55847022567407
3,2,3,37,8116593,8116595,2,11,4,continuous,41,41,10,41,41,10,41,41,10,1,1,1,1,1,1,11371.8388828272,88.37663179453011,10.138644996343182,108.69006370234422
3,2,3,38,8124785,8124787,2,11,4,continuous,1101,-947,275,1101,-947,275,1101,-947,275,1,1,1,1,1,1,13521.921727951849,105.0984756744001,9.852284063938047,129.2251916474595
3,2,3,39,8132977,8132979,2,11,4,continuous,1769,-279,442,1769,-279,442,1769,-279,442,1,1,1,1,1,1,15157.017155301815,117.73701573292874,10.238374881822,144.12723376574175
4,3,4,0,10313833,10313835,2,11,4,continuous,1605,-443,401,1605,-443,401,1605,-443,401,1,1,1,1,1,1,6179.607764275803,47.95393698270436,21.49737434195154,49.82085116366354
4,3,4,1,10322025,10322027,2,11,4,continuous,1421,-627,355,1421,-627,355,1421,-627,355,1,1,1,1,1,1,5899.990207942261,45.81916806056688,23.036478998671765,47.48780001239439
4,3,4,2,10330217,10330219,2,11,4,continuous,1229,-819,307,1229,-819,307,1229,-819,307,1,1,1,1,1,1,5915.1627459563315,45.89121288870592,23.841004224457294,47.55163421641711
4,3,4,3,10338409,10338411,2,11,4,continuous,1381,-667,345,1381,-667,345,1381,-667,345,1,1,1,1,1,1,5760.674729797989,44.662018541941734,22.510940433881377,46.359310057291765
4,3,4,4,10346601,10346603,2,11,4,continuous,1961,-87,490,1961,-87,490,1961,-87,490,1,1,1,1,1,1,5779.1524075495545,44.618027620236035,18.859000742657575,47.14343873750455
4,3,4,5,10354793,10354795,2,11,4,continuous,1857,-191,464,1857,-191,464,1857,-191,464,1,1,1,1,1,1,5853.265592763433,45.63606296542298,19.091545122518106,48.00278813725904
4,3,4,6,10362985,10362987,2,11,4,continuous,1693,-355,423,1693,-355,423,1693,-355,423,1,1,1,1,1,1,6086.928208694793,47.43570281847701,19.202111675121035,49.855095978761256
4,3,4,7,10371177,10371179,2,11,4,continuous,1245,-803,311,1245,-803,311,1245,-803,311,1,1,1,1,1,1,6439.43188875966,49.897484005495244,20.509510936406166,52.2314596417607
